shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
"מעדן סויה, 1.6% שומן, אפרסק/תות, תנובה","Soy pudding, 1.6% fat, peach/strawberry, Tnuva",84,"Food item: Soy pudding, 1.6% fat, peach/strawberry, Tnuva","מזון: מעדן סויה, 1.6% שומן, אפרסק/תות, תנובה"
"מעדן סויה, 2% שומן, שוקולד, תנובה","Soy pudding, 2% fat, vanilla/chocolate, Tnuva",105,"Food item: Soy pudding, 2% fat, vanilla/chocolate, Tnuva","מזון: מעדן סויה, 2% שומן, שוקולד, תנובה"
"מעדן סויה, 1.8% שומן, מתיקות מעודנת, תנובה","Soy pudding, 1.8% fat, slighty sweetened, Tnuva",55,"Food item: Soy pudding, 1.8% fat, slighty sweetened, Tnuva","מזון: מעדן סויה, 1.8% שומן, מתיקות מעודנת, תנובה"
"מעדן סויה, 1.8% שומן, וניל/קרמל, אלפרו","Soy pudding, 1.8% fat vanilla/caramel, Alpro",85,"Food item: Soy pudding, 1.8% fat vanilla/caramel, Alpro","מזון: מעדן סויה, 1.8% שומן, וניל/קרמל, אלפרו"
"מעדן סויה, 2.3% שומן, שוקולד/שוקולד מריר, אלפרו","Soy pudding, 3% fat, chocolate, fortified with calcium, Alpro",94,"Food item: Soy pudding, 3% fat, chocolate, fortified with calcium, Alpro","מזון: מעדן סויה, 2.3% שומן, שוקולד/שוקולד מריר, אלפרו"
"מרק עוף לקוסקוס עם עוף, ירקות ושמן קנולה","Soup, chicken, for couscous, with chicken, vegetables and canola oil",67,"Food item: Soup, chicken, for couscous, with chicken, vegetables and canola oil","מזון: מרק עוף לקוסקוס עם עוף, ירקות ושמן קנולה"
"אטריות שיראטאקי, קונג'אק, KONJAC, סקיני","Noodles, shirataki, KONJAC, Skinny",13,"Food item: Noodles, shirataki, KONJAC, Skinny","מזון: אטריות שיראטאקי, קונג'אק, KONJAC, סקיני"
"דגני בוקר, ברנפלקס ללא  גלוטן, תלמה ","Breakfast cereals, Branflakes, gluten free, Telma",340,"Food item: Breakfast cereals, Branflakes, gluten free, Telma","מזון: דגני בוקר, ברנפלקס ללא  גלוטן, תלמה"
"משקה יוגורט 1.1% שומן, דנכול, טעמים שונים, שטראוס","Yoghurt drink, cow milk, 1.1% fat, Dancol, flavored, Strauss",43,Low-fat cow’s milk (1%) enriched with calcium and vitamins A and D.,חלב פרה דל שומן (1%) מועשר בסידן ובוויטמינים A ו-D.
"סירופ אגבה, AGAVE",Agave syrup,310,Food item: Agave syrup,"מזון: סירופ אגבה, AGAVE"
"לחם מחיטה מלאה, בתוספת ויטמינים, דגנית עין בר","Bread, whole wheat, vitamin-enriched, DganitEinBar",250,"Food item: Bread, whole wheat, vitamin-enriched, DganitEinBar","מזון: לחם מחיטה מלאה, בתוספת ויטמינים, דגנית עין בר"
"מים, ממותקים מוגזים, טעמים שונים, שוופס","Water, carbonated, lightly flavored, various flavors, Schweppes",25,"Food item: Water, carbonated, lightly flavored, various flavors, Schweppes","מזון: מים, ממותקים מוגזים, טעמים שונים, שוופס"
"משקה קל, עם קוביות אלוורה, טעמים שונים, סייפ, SAPE","Soft drink, with aloe vera cubes, various flavors, Sape",56,"Food item: Soft drink, with aloe vera cubes, various flavors, Sape","מזון: משקה קל, עם קוביות אלוורה, טעמים שונים, סייפ, SAPE"
"מים בטעמים, אפס קלוריות, טעמים שונים, שוופס","Water, flavored, zero calories, Schweppes",0,"Food item: Water, flavored, zero calories, Schweppes","מזון: מים בטעמים, אפס קלוריות, טעמים שונים, שוופס"
"מים מינרלים בטעמים, נביעות","Water, mineral, flavored, Neviot",15,"Food item: Water, mineral, flavored, Neviot","מזון: מים מינרלים בטעמים, נביעות"
"שוקולד כדורים, במילוי קרם מרציפן ואגוזים, מוצרט MOZART","Candy, chocolate praline, nut cream filling, Mozart",518,"Food item: Candy, chocolate praline, nut cream filling, Mozart","מזון: שוקולד כדורים, במילוי קרם מרציפן ואגוזים, מוצרט MOZART"
בצל מטוגן ללא תוספת שמן,"Onion, fried, fat not added",65,"Food item: Onion, fried, fat not added",מזון: בצל מטוגן ללא תוספת שמן
"מג'דרה עם אורז מלא, בצל מטוגן ללא תוספת שמן","Mejadra, with whole rice, fried onions without oil, homemade",118,"Food item: Mejadra, with whole rice, fried onions without oil, homemade","מזון: מג'דרה עם אורז מלא, בצל מטוגן ללא תוספת שמן"
"גרעיני חמניות, בלי קליפה, קלויים, ללא מלח","Seeds, sunflower, hulled, roasted, unsalted",592,"Food item: Seeds, sunflower, hulled, roasted, unsalted","מזון: גרעיני חמניות, בלי קליפה, קלויים, ללא מלח"
"שוקולד צ'יפס,  CHOCOLATE SEMI-SWEET MORSELS","Chocolate, chips, semi-sweet ",480,"Food item: Chocolate, chips, semi-sweet","מזון: שוקולד צ'יפס,  CHOCOLATE SEMI-SWEET MORSELS"
כוסמת מבושלת על בסיס חלב,"Buckwheat, cooked, milk base",138,"Food item: Buckwheat, cooked, milk base",מזון: כוסמת מבושלת על בסיס חלב
"דג אמנון-מושט, מטוגן ללא שמן, ללא בלילה","Fish, tilapia,fried without coating or oil",173,"Food item: Fish, tilapia,fried without coating or oil","מזון: דג אמנון-מושט, מטוגן ללא שמן, ללא בלילה"
דג סלמון מטוגן ללא תוספת שמן,"Fish, salmon, fried without oil",158,"Food item: Fish, salmon, fried without oil",מזון: דג סלמון מטוגן ללא תוספת שמן
"לאבנה ביתית, חלב כבשים, 20% שומן","Labane, goat milk, 20% fat, homemade",357,"Goat’s milk, typically higher in certain minerals than cow’s milk.","חלב עזים, לרוב עשיר יותר במינרלים מחלב פרה."
קובנה עם שמן זית,"Kubana, Yemenite bread, with olive oil",360,"Food item: Kubana, Yemenite bread, with olive oil",מזון: קובנה עם שמן זית
"אוכמניות מיובשות, ממותקות","Blueberries, dried, sweetened",317,"Food item: Blueberries, dried, sweetened","מזון: אוכמניות מיובשות, ממותקות"
"ביסקוויט, פתי בר ללא גלוטן","Cookies, Petit Beurre, gluten free",484,"Food item: Cookies, Petit Beurre, gluten free","מזון: ביסקוויט, פתי בר ללא גלוטן"
"משקה עתיר אנרגיה עם קפאין, RED BULL/XL/BLU  ","Energy drink, Red Bull/XL/Blue",45,"Food item: Energy drink, Red Bull/XL/Blue","מזון: משקה עתיר אנרגיה עם קפאין, RED BULL/XL/BLU"
"משקה אנרגיה, RED BULL/XL, ללא סוכר, עם תוספת קפאין ","Energy drink, with extra caffeine, sugar-free, Red Bull/XL",5,"Food item: Energy drink, with extra caffeine, sugar-free, Red Bull/XL","מזון: משקה אנרגיה, RED BULL/XL, ללא סוכר, עם תוספת קפאין"
"פירורי לחם ללא גלוטן,  NATURAL BAKERY","Breadcrumbs, gluten free",378,"Food item: Breadcrumbs, gluten free","מזון: פירורי לחם ללא גלוטן,  NATURAL BAKERY"
"פתיתים אפוים, מבושלים, ללא גלוטן","Noodles, small (ptitim), gluten-free, cooked",82,"Food item: Noodles, small (ptitim), gluten-free, cooked","מזון: פתיתים אפוים, מבושלים, ללא גלוטן"
"בייגלה שמיניות עם מלח, ללא גלוטן","Pretzels, salty, gluten-free",481,"Food item: Pretzels, salty, gluten-free","מזון: בייגלה שמיניות עם מלח, ללא גלוטן"
שקדי מרק ללא גלוטן,"Croutons,""Shkedi Marak"", gluten-free",519,"Food item: Croutons,""Shkedi Marak"", gluten-free",מזון: שקדי מרק ללא גלוטן
"פסטה, קמח תירס, ללא גלוטן, מבושל","Pasta, corn, gluten-free, cooked",126,"Food item: Pasta, corn, gluten-free, cooked","מזון: פסטה, קמח תירס, ללא גלוטן, מבושל"
"פסטה, קמח תירס, ללא גלוטן, יבש","Pasta, gluten-free, corn, dry",357,"Food item: Pasta, gluten-free, corn, dry","מזון: פסטה, קמח תירס, ללא גלוטן, יבש"
"קוסקוס מלא, מבושל עם שמן קנולה","Couscous, whole wheat, cooked with canola oil",128,"Food item: Couscous, whole wheat, cooked with canola oil","מזון: קוסקוס מלא, מבושל עם שמן קנולה"
"ממרח מיוקל 5% שומן, משמן קנולה, תלמה","Spread, mayonnaise type, from canola oil, 5% fat, Telma",94,"Food item: Spread, mayonnaise type, from canola oil, 5% fat, Telma","מזון: ממרח מיוקל 5% שומן, משמן קנולה, תלמה"
"בשר בקר, המבורגר/סטייקבורגר כולל מזרחי,טיבון ויל","Beef, hamburger/steakburger including Eastern, TivonVeal",154,"Food item: Beef, hamburger/steakburger including Eastern, TivonVeal","מזון: בשר בקר, המבורגר/סטייקבורגר כולל מזרחי,טיבון ויל"
"בשר בקר, המבורגר/אמיתי/סטייקבורגר, טירת צבי","Beef, hamburger/steakburger, Tirat Zvi",242,"Food item: Beef, hamburger/steakburger, Tirat Zvi","מזון: בשר בקר, המבורגר/אמיתי/סטייקבורגר, טירת צבי"
"מרק ירקות לקוסקוס, עם שמן קנולה","Soup, vegetable, for couscous, with canola oil",63,"Food item: Soup, vegetable, for couscous, with canola oil","מזון: מרק ירקות לקוסקוס, עם שמן קנולה"
"מרק ירקות לקוסקוס, עם שמן סויה","Soup, vegetable, for couscous, with soy oil",63,"Food item: Soup, vegetable, for couscous, with soy oil","מזון: מרק ירקות לקוסקוס, עם שמן סויה"
"עוגיות, סנדוויץ', חיוכים וניל,/שוקולד, עלית","Cookies, sandwich, vanilla/chocolate/lemon, Elite",484,"Food item: Cookies, sandwich, vanilla/chocolate/lemon, Elite","מזון: עוגיות, סנדוויץ', חיוכים וניל,/שוקולד, עלית"
מרק פטריות ללא תוספת שומן,"Soup, mushroom, fat not added",12,"Food item: Soup, mushroom, fat not added",מזון: מרק פטריות ללא תוספת שומן
"תפוחי אדמה, פירה עם שמן קנולה","Potatoes, mashed, with canola oil",139,"Food item: Potatoes, mashed, with canola oil","מזון: תפוחי אדמה, פירה עם שמן קנולה"
"תפוחי אדמה, פירה ללא תוספת שומן","Potatoes, mashed, fat not added",92,"Food item: Potatoes, mashed, fat not added","מזון: תפוחי אדמה, פירה ללא תוספת שומן"
"דג סול, מטוגן בבלילה, ללא תוספת שומן","Fish, sole, coated, fried,  without oil",132,"Food item: Fish, sole, coated, fried,  without oil","מזון: דג סול, מטוגן בבלילה, ללא תוספת שומן"
"תפוחי אדמה, ממולאים בשר, מפרום, עם שמן סויה","Potatoes, meat filling, Mafroom, with soy oil",152,"Food item: Potatoes, meat filling, Mafroom, with soy oil","מזון: תפוחי אדמה, ממולאים בשר, מפרום, עם שמן סויה"
"פולנטה מקמח תירס, על בסיס מים","Polenta, from corn (maize) flour, based on water",160,"Food item: Polenta, from corn (maize) flour, based on water","מזון: פולנטה מקמח תירס, על בסיס מים"
"מרק, חמיצת סלק (בורשט), על בסיס מים","Soup, beet, borscht, with lemon juice, water-based ",29,"Food item: Soup, beet, borscht, with lemon juice, water-based","מזון: מרק, חמיצת סלק (בורשט), על בסיס מים"
עוגת גזר עם קמח מלא,"Cake, carrot, whole wheat flour, homemade                  ",281,"Food item: Cake, carrot, whole wheat flour, homemade",מזון: עוגת גזר עם קמח מלא
"עוגה בחושה, שוקולד עם קמח מלא ושמן קנולה ","Cake, chocolate, with whole wheat flour and canola oil, homemade",303,"Food item: Cake, chocolate, with whole wheat flour and canola oil, homemade","מזון: עוגה בחושה, שוקולד עם קמח מלא ושמן קנולה"
"קציצות בשר בקר, מטוגנות, עם שמן סויה","Beef, patties (meatballs), fried with soy oil",225,"Food item: Beef, patties (meatballs), fried with soy oil","מזון: קציצות בשר בקר, מטוגנות, עם שמן סויה"
"עוגה בחושה, לבנה עם קמח מלא ושמן קנולה ","Cake, white, with whole wheat flour and canola oil, homemade",262,"Food item: Cake, white, with whole wheat flour and canola oil, homemade","מזון: עוגה בחושה, לבנה עם קמח מלא ושמן קנולה"
פיתה ביתית מקמח מלא,"Pita, whole-wheat flour, homemade",222,"Food item: Pita, whole-wheat flour, homemade",מזון: פיתה ביתית מקמח מלא
פיתה ביתית מקמח לבן,"Pita, white flour, homemade",253,"Food item: Pita, white flour, homemade",מזון: פיתה ביתית מקמח לבן
"בצק פירושקי, מאפה רוסי ללא מילוי","Pirozhki dough, Russian pastry, no filling, homemade",321,"Food item: Pirozhki dough, Russian pastry, no filling, homemade","מזון: בצק פירושקי, מאפה רוסי ללא מילוי"
אורז לבן מבושל עם שמן קנולה ,"Rice, white, cooked in canola oil",196,"Food item: Rice, white, cooked in canola oil",מזון: אורז לבן מבושל עם שמן קנולה
אורז לבן מבושל עם שמן סויה ,"Rice, cooked with soy oil",145,"Food item: Rice, cooked with soy oil",מזון: אורז לבן מבושל עם שמן סויה
"דגני בוקר, גרנולה, ביתי","Breakfast cereals, granola, homemade",477,"Food item: Breakfast cereals, granola, homemade","מזון: דגני בוקר, גרנולה, ביתי"
פשטידת בצל עם שמן קנולה ,"Pie, onion, with canola oil, homemade",210,"Food item: Pie, onion, with canola oil, homemade",מזון: פשטידת בצל עם שמן קנולה
"דג לוקוס מבושל ברוטב עגבניות ושמן קנולה, חריימה ","Fish, grouper, chraimeh, cooked in tomato sauce and canola oil",106,"Food item: Fish, grouper, chraimeh, cooked in tomato sauce and canola oil","מזון: דג לוקוס מבושל ברוטב עגבניות ושמן קנולה, חריימה"
"תפוחי אדמה, ממולאים בשר, מפרום, עם שמן קנולה","Potatoes, meat filling, Mafroom, with canola oil",152,"Food item: Potatoes, meat filling, Mafroom, with canola oil","מזון: תפוחי אדמה, ממולאים בשר, מפרום, עם שמן קנולה"
"דג, סביצ'ה","Fish, ceviche",140,"Food item: Fish, ceviche","מזון: דג, סביצ'ה"
"חלה מקמח מלא עם שמן קנולה, ביתית ","Bread, challah, whole-wheat with canola oil, homemade",268,"Food item: Bread, challah, whole-wheat with canola oil, homemade","מזון: חלה מקמח מלא עם שמן קנולה, ביתית"
"עוגיות פשוטות על בסיס חמאה, ""סבתא""","Cookies, plain type, butter-based, homemade",452,"Food item: Cookies, plain type, butter-based, homemade","מזון: עוגיות פשוטות על בסיס חמאה, ""סבתא"""
"עוגיות פשוטות על בסיס שמן קנולה, ""סבתא"" ","Cookies, plain type, canola oil based, homemade",530,"Food item: Cookies, plain type, canola oil based, homemade","מזון: עוגיות פשוטות על בסיס שמן קנולה, ""סבתא"""
"מרק, חמיצת סלק, בורשט עם בשר בקר (רוסי)","Soup, borscht with beef",46,"Food item: Soup, borscht with beef","מזון: מרק, חמיצת סלק, בורשט עם בשר בקר (רוסי)"
"מרק בורשט עם ציר בשר הודו, חמיצה (רוסי) ","Soup, borscht with turkey bouillon",32,"Food item: Soup, borscht with turkey bouillon","מזון: מרק בורשט עם ציר בשר הודו, חמיצה (רוסי)"
"לחם כוסמין מקמח כוסמין מלא/לבן, ביתי","Bread, spelt, made from spelt flour whole/white, homemade",266,"Food item: Bread, spelt, made from spelt flour whole/white, homemade","מזון: לחם כוסמין מקמח כוסמין מלא/לבן, ביתי"
"בצל, טוגני בצל, טבעות מוקפאות, עם ציפוי, תפוגן","Onion, rings, coated, frozen, Tapugan",215,"Food item: Onion, rings, coated, frozen, Tapugan","מזון: בצל, טוגני בצל, טבעות מוקפאות, עם ציפוי, תפוגן"
"קציצות בשר עוף, מטוגנות, בשמן קנולה","Chicken, patties, fried in canola oil",207,"Food item: Chicken, patties, fried in canola oil","מזון: קציצות בשר עוף, מטוגנות, בשמן קנולה"
קציצות בשר הודו מבושלות עם רוטב עגבניות טריות ורסק ושמן קנולה,"Turkey, patties, cooked with  tomato sauce from fresh tomatoes and tomato paste, with canola oil",126,"Food item: Turkey, patties, cooked with  tomato sauce from fresh tomatoes and tomato paste, with canola oil",מזון: קציצות בשר הודו מבושלות עם רוטב עגבניות טריות ורסק ושמן קנולה
"קובה בורגול מטוגן, נבלוסיה, עם בשר בקר מטוגן בשמן קנולה","Kubbeh, bulgur, fried, with beef, in canola oil",320,"Food item: Kubbeh, bulgur, fried, with beef, in canola oil","מזון: קובה בורגול מטוגן, נבלוסיה, עם בשר בקר מטוגן בשמן קנולה"
"דג מוסר, מבושל ","Fish, grey mullet, simmered",152,"Food item: Fish, grey mullet, simmered","מזון: דג מוסר, מבושל"
"רגל קרושה, בקר/עוף, וולס VELES",Calf foot jelly,41,Food item: Calf foot jelly,"מזון: רגל קרושה, בקר/עוף, וולס VELES"
"גלידה/ מעדן טופו קפוא, לא שוקולד, טופוטי, TOFUTTI","Tofu, icecream, not chocolate, Tofutti ",300,"Food item: Tofu, icecream, not chocolate, Tofutti","מזון: גלידה/ מעדן טופו קפוא, לא שוקולד, טופוטי, TOFUTTI"
"דייסת סולת על בסיס חלב 3%, ללא תוספת סוכר ","Cereal, semolina porridge, milk based, 3% fat, no added sugar",95,"Food item: Cereal, semolina porridge, milk based, 3% fat, no added sugar","מזון: דייסת סולת על בסיס חלב 3%, ללא תוספת סוכר"
"דג דניס-צ'יפורה, מבושל עם מלח","Fish, sea bream, cooked",166,"Food item: Fish, sea bream, cooked","מזון: דג דניס-צ'יפורה, מבושל עם מלח"
"דג בס מטוגן בשמן קנולה, ללא ציפוי  ","Fish, bass, fried in canola oil, without coating",217,"Food item: Fish, bass, fried in canola oil, without coating","מזון: דג בס מטוגן בשמן קנולה, ללא ציפוי"
גזר אפוי ללא שמן,"Carrots, baked, fat not added",47,"Food item: Carrots, baked, fat not added",מזון: גזר אפוי ללא שמן
קישואים אפויים ללא שמן,"Zucchini, baked, fat not added",23,"Food item: Zucchini, baked, fat not added",מזון: קישואים אפויים ללא שמן
"לאבנה ביתית, חלב עזים, 10% שומן","Labane, goat milk, 10% fat, homemade",184,"Goat’s milk, typically higher in certain minerals than cow’s milk.","חלב עזים, לרוב עשיר יותר במינרלים מחלב פרה."
"עוגיות גרנולה, ביתיות, עם שמן קנולה","Cookies, granola type, with canola oil, homemade",464,"Food item: Cookies, granola type, with canola oil, homemade","מזון: עוגיות גרנולה, ביתיות, עם שמן קנולה"
"עוגת דבש מקמח לבן, ביתית","Cake, honey, white flour, homemade",365,"Food item: Cake, honey, white flour, homemade","מזון: עוגת דבש מקמח לבן, ביתית"
"עוגת דבש מקמח מלא, ביתית ","Cake, honey, whole wheat flour, homemade",359,"Food item: Cake, honey, whole wheat flour, homemade","מזון: עוגת דבש מקמח מלא, ביתית"
"עוגיות שושני קצף על בסיס חמאה, ביתיות","Cookies, meringue, butter-based, homemade",394,"Food item: Cookies, meringue, butter-based, homemade","מזון: עוגיות שושני קצף על בסיס חמאה, ביתיות"
"עוגיות שושני קצף על בסיס מרגרינה, ביתיות","Cookies, yeast, with meringue and vanilla pudding, homemade",391,"Food item: Cookies, yeast, with meringue and vanilla pudding, homemade","מזון: עוגיות שושני קצף על בסיס מרגרינה, ביתיות"
"בלינצ'ס/חביתיות, ללא מילוי, מטוגן","Blintzes, no filling, fried, homemade",213,"Food item: Blintzes, no filling, fried, homemade","מזון: בלינצ'ס/חביתיות, ללא מילוי, מטוגן"
"חלה מתוקה על בסיס שמן קנולה, ביתית","Bread, challah, sweet, based on canola oil, homemade",306,"Food item: Bread, challah, sweet, based on canola oil, homemade","מזון: חלה מתוקה על בסיס שמן קנולה, ביתית"
"חלה מתוקה על בסיס חמאה, ביתית","Bread, challah, sweet, based on butter, homemade",303,"Food item: Bread, challah, sweet, based on butter, homemade","מזון: חלה מתוקה על בסיס חמאה, ביתית"
סלט ירקות ישראלי ללא תוספת שמן,"Salad, Israeli vegetable, without oil",17,"Food item: Salad, Israeli vegetable, without oil",מזון: סלט ירקות ישראלי ללא תוספת שמן
"מרק בורשט ללא בשר, חמיצה (רוסי) "," Soup, beet, borscht, without meat",27,"Food item: Soup, beet, borscht, without meat","מזון: מרק בורשט ללא בשר, חמיצה (רוסי)"
"עוגה בחושה, לבנה מקמח כוסמין   ","Cake, white, from spelt flour",414,"Food item: Cake, white, from spelt flour","מזון: עוגה בחושה, לבנה מקמח כוסמין"
"יוגורט, דנונה פרו, עשיר בחלבון, 2.9% שומן, שטראוס","Yoghurt, cow milk, protein-enriched, 2.9% fat, Danone Pro,Strauss",74,"Food item: Yoghurt, cow milk, protein-enriched, 2.9% fat, Danone Pro,Strauss","מזון: יוגורט, דנונה פרו, עשיר בחלבון, 2.9% שומן, שטראוס"
"יוגורט, דנונה פרו, עם פרי, עשיר בחלבון, 2.4% שומן, שטראוס","Yoghurt, cow milk, protein-enriched ,added fruit, 2.4% fat, Danone Pro,Strauss",90,"Food item: Yoghurt, cow milk, protein-enriched ,added fruit, 2.4% fat, Danone Pro,Strauss","מזון: יוגורט, דנונה פרו, עם פרי, עשיר בחלבון, 2.4% שומן, שטראוס"
"גלידה אישית, שוקו פקאן, מופחת קלוריות, גלידל, פלדמן","Popsicle/ice cream, chocolate-pecan, Glidal, energy-reduced,  Feldman",90,"Food item: Popsicle/ice cream, chocolate-pecan, Glidal, energy-reduced,  Feldman","מזון: גלידה אישית, שוקו פקאן, מופחת קלוריות, גלידל, פלדמן"
"גלידה אישית, ריבת חלב, מופחת קלוריות, גלידל,פלדמן ","Popsicle/ice cream, dulce de leche, fat-reduced, single serve, Feldman",97,"Food item: Popsicle/ice cream, dulce de leche, fat-reduced, single serve, Feldman","מזון: גלידה אישית, ריבת חלב, מופחת קלוריות, גלידל,פלדמן"
"פלאפל, מוכן מאבקה להכנת כדורים, אסם","Falafel (chickpea) balls, prepared from powder, Osem",245,"Food item: Falafel (chickpea) balls, prepared from powder, Osem","מזון: פלאפל, מוכן מאבקה להכנת כדורים, אסם"
"פלאפל, כדורים מוכנים לחימום, שלושת האופים","Falafel (chickpea) balls, ready for heating, ThreeChefs",253,"Food item: Falafel (chickpea) balls, ready for heating, ThreeChefs","מזון: פלאפל, כדורים מוכנים לחימום, שלושת האופים"
"מרק עגבניות עם אורז, מוכן מאבקה, אסם","Soup, tomato, with rice,  prepared from mix, Osem",55,"Food item: Soup, tomato, with rice,  prepared from mix, Osem","מזון: מרק עגבניות עם אורז, מוכן מאבקה, אסם"
"גלידה בשומן צמחי, פירות, 5 טעמים, 2.5% שומן, שטראוס","Ice cream, 2.5% fat, vegetable fat, various fruit flavors, Strauss",150,"Food item: Ice cream, 2.5% fat, vegetable fat, various fruit flavors, Strauss","מזון: גלידה בשומן צמחי, פירות, 5 טעמים, 2.5% שומן, שטראוס"
"שניצל לקט ירקות, תפוגן","Vegetables, shnitzel, Tapugan",229,"Food item: Vegetables, shnitzel, Tapugan","מזון: שניצל לקט ירקות, תפוגן"
"גלידה אישית, סנדוויץ, וניל, עוגיות פתי בר, טעמקור, שטראוס","Ice cream sandwich, vanilla, Petit Beurre cookies, Taamkor, Strauss",305,"Food item: Ice cream sandwich, vanilla, Petit Beurre cookies, Taamkor, Strauss","מזון: גלידה אישית, סנדוויץ, וניל, עוגיות פתי בר, טעמקור, שטראוס"
"שעועית לוביה, מבושלת, ללא תוספת שומן, עם מלח","Cowpeas, dry, cooked, fat not added in cooking",115,"Food item: Cowpeas, dry, cooked, fat not added in cooking","מזון: שעועית לוביה, מבושלת, ללא תוספת שומן, עם מלח"
"שעועית לוביה, לא מבושלת","Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",336,"Food item: Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw","מזון: שעועית לוביה, לא מבושלת"
"רוטב טריאקי, אוליביה","Teriyaki sauce, Olivia",202,"Food item: Teriyaki sauce, Olivia","מזון: רוטב טריאקי, אוליביה"
"רוטב סלסה, מטבל פיקנטי","Sauce, salsa dip, spicy",69,"Food item: Sauce, salsa dip, spicy","מזון: רוטב סלסה, מטבל פיקנטי"
עוגת גבינה אפויה 9% על תחתית בצק פריך עם חמאה,"Cake, cheese, 9%,  with butter-based flaky pastry base, homemade",247,"Food item: Cake, cheese, 9%,  with butter-based flaky pastry base, homemade",מזון: עוגת גבינה אפויה 9% על תחתית בצק פריך עם חמאה
עוגת גבינה אפויה 30% על תחתית בצק פריך עם חמאה,"Cake, cheese, 30% fat cheese, with butter-based flaky pastry base,  homemade",319,"Food item: Cake, cheese, 30% fat cheese, with butter-based flaky pastry base,  homemade",מזון: עוגת גבינה אפויה 30% על תחתית בצק פריך עם חמאה
"רוטב ברביקיו, אסם, קנור","Sauce, barbecue, Osem/Knorr",116,"Food item: Sauce, barbecue, Osem/Knorr","מזון: רוטב ברביקיו, אסם, קנור"
"רוטב פסטו איטלקי, אוליביה","Sauce, pesto, Olivia",278,"Food item: Sauce, pesto, Olivia","מזון: רוטב פסטו איטלקי, אוליביה"
"רוטב ויניגרט, אסם","Salad dressing, vinaigrette, Osem",287,"Food item: Salad dressing, vinaigrette, Osem","מזון: רוטב ויניגרט, אסם"
"רוטב חרדל ודבש, הלמנס","Salad dressing, honey mustard, Hellmann's",344,"Food item: Salad dressing, honey mustard, Hellmann's","מזון: רוטב חרדל ודבש, הלמנס"
"מרק עוף, מוכן מאבקה, אסם","Soup, chicken, prepared from mix, Osem",14,"Food item: Soup, chicken, prepared from mix, Osem","מזון: מרק עוף, מוכן מאבקה, אסם"
"ממרח טונה, סטארקיסט","Fish, tuna, spread, Starkist",233,"Food item: Fish, tuna, spread, Starkist","מזון: ממרח טונה, סטארקיסט"
"טורטיה, קמח לבן","Tortilla, flour (wheat)",301,"Food item: Tortilla, flour (wheat)","מזון: טורטיה, קמח לבן"
"ופל במילוי קרם בטעם שוקולד, ללא תוספת סוכר, TUSSO","Wafers, with chocolate cream filling, no added sugar, Tusso",492,"Food item: Wafers, with chocolate cream filling, no added sugar, Tusso","מזון: ופל במילוי קרם בטעם שוקולד, ללא תוספת סוכר, TUSSO"
"משקה חלב, אייס קפה, ארומה","Milk drink, ice cafe, Aroma",84,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב, אייס קפה, דיאט, ארומה","Milk drink, ice cafe, diet, Aroma",39,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"בשר בקר, המבורגר ביתי, מטוגן בשמן סויה","Beef, patties, hamburger style, fried in soy oil",238,"Food item: Beef, patties, hamburger style, fried in soy oil","מזון: בשר בקר, המבורגר ביתי, מטוגן בשמן סויה"
"בשר בקר, המבורגר ביתי, מטוגן, ללא שמן","Beef, patties, hamburger style, fried without oil",187,"Food item: Beef, patties, hamburger style, fried without oil","מזון: בשר בקר, המבורגר ביתי, מטוגן, ללא שמן"
"בשר טלה, המבורגר ביתי, מטוגן בשמן סויה","Lamb, patties, fried in soy oil, homemade",299,"Food item: Lamb, patties, fried in soy oil, homemade","מזון: בשר טלה, המבורגר ביתי, מטוגן בשמן סויה"
"בשר טלה, המבורגר ביתי, מטוגן, ללא שמן","Veal, patty, fried, without oil",253,"Food item: Veal, patty, fried, without oil","מזון: בשר טלה, המבורגר ביתי, מטוגן, ללא שמן"
"מרק ירקות עם שקדי מרק, נמס, רגע חם, מוכן מאבקה, אסם","Soup, vegetable, with soup nuts, prepared from mix, (instant, in cup) Osem",51,"Food item: Soup, vegetable, with soup nuts, prepared from mix, (instant, in cup) Osem","מזון: מרק ירקות עם שקדי מרק, נמס, רגע חם, מוכן מאבקה, אסם"
"מרק בצל, אבקה, קנור","Soup, onion, instant powder, Knorr",350,"Food item: Soup, onion, instant powder, Knorr","מזון: מרק בצל, אבקה, קנור"
"תפוח עץ, מיובש, חטיף תפוחונים","Apple, dried, cooked, snack, Tapuchonim",380,"Food item: Apple, dried, cooked, snack, Tapuchonim","מזון: תפוח עץ, מיובש, חטיף תפוחונים"
מיץ עשב חיטה,"Juice, wheat grass",21,"Food item: Juice, wheat grass",מזון: מיץ עשב חיטה
"לביבות תפוחי אדמה, הוכן מאבקה, מטוגנות בשמן קנולה","Potato pancakes, prepared from powder, fried in canola oil",214,"Food item: Potato pancakes, prepared from powder, fried in canola oil","מזון: לביבות תפוחי אדמה, הוכן מאבקה, מטוגנות בשמן קנולה"
